1000 5
745 3 1
857 7 0
965 5 3
1170 3 0
204 8 4
1167 7 2
1372 5 2
1 5 4
339 8 3
940 8 0
605 6 5
1367 8 3
505 5 4
1303 8 0
1306 5 4
1316 5 0
353 8 5
290 5 1
1241 8 3
848 4 3
404 6 1
1051 3 4
1124 7 2
464 4 5
344 3 4
1324 8 1
1070 4 0
1179 8 3
521 4 2
1004 7 5
611 7 4
239 5 5
145 7 2
667 4 4
546 3 5
959 3 1
1041 6 5
977 8 4
1076 3 1
1145 8 4
1026 3 3
195 3 2
1025 6 1
312 3 1
352 6 5
479 4 5
1436 4 5
1065 6 1
704 3 1
99 5 0
1045 5 5
254 8 2
850 7 2
96 7 2
823 8 0
289 4 2
222 8 3
932 8 1
396 3 4
822 8 3
685 7 1
311 6 5
790 3 2
1169 5 4
1149 4 3
900 5 4
401 3 2
969 3 5
330 6 0
565 8 1
1103 3 0
1378 4 2
929 8 0
566 5 4
695 7 2
1315 4 5
1435 4 1
296 8 1
846 5 1
1027 5 1
1035 4 1
991 3 0
576 6 1
1339 4 4
1096 4 3
214 4 5
1263 8 5
780 3 4
1330 6 5
484 4 1
1428 3 5
1343 3 0
1215 3 2
486 3 1
730 8 1
284 4 0
377 5 2
539 3 5
647 6 4
169 5 1
1400 4 3
218 7 2
491 8 1
1216 7 5
1369 5 4
1153 7 3
519 6 2
368 7 4
861 6 5
1015 5 3
10 8 5
1058 7 0
579 4 0
11 6 2
1407 4 0
38 3 1
577 3 3
1115 4 2
875 5 5
1424 3 0
724 4 1
45 7 1
682 7 3
1226 7 0
310 8 1
1290 8 4
263 5 2
2 3 5
599 6 2
600 5 1
640 3 3
400 3 1
909 5 2
728 3 3
58 8 1
200 3 4
869 3 4
351 6 2
70 6 3
349 7 3
921 5 2
655 8 3
643 7 2
364 3 0
1388 8 5
456 6 3
460 4 4
744 6 0
881 8 2
1024 5 1
390 4 0
374 3 2
27 5 2
84 7 4
467 7 3
953 3 3
526 5 3
709 4 5
433 3 3
1329 3 4
727 7 0
553 3 1
19 7 0
1117 6 1
471 5 3
111 6 0
922 3 1
838 6 2
227 6 1
937 4 5
1202 4 5
847 7 5
558 4 0
597 3 1
1157 6 3
1283 6 1
827 7 3
1021 5 2
437 5 3
1188 6 2
1265 3 3
1413 5 1
696 5 3
432 5 3
1302 8 5
828 5 5
771 8 4
738 4 0
1379 5 1
951 8 2
475 6 5
363 3 3
203 7 4
750 3 3
49 4 3
157 5 1
1080 5 2
1062 8 0
1417 4 1
231 4 5
895 6 4
399 7 5
406 7 0
1286 5 5
