6,108772235849 3,156836364450 K5V
6,371059927886 3,181131772484 A2IV
4,570654973469 3,441388914710 M7VI
6,017286786871 1,883683592026 G0III
7,189247113670 3,310804483939 VII
7,980189451685 1,272000873989 F4II
8,802578627717 2,242384581613 G8II
7,530410838531 1,517627235359 B1IV
5,129346931470 1,554959708840 G5III
5,946823557734 3,740706864913 F7II
-9,249674988660 5,636083313387 G9II
6,187167528492 2,918562003143 A8I
7,819297767728 3,393374634248 K1IV
7,891603755275 4,009457296882 O3V
-10,235397990622 6,239406993130 B6II
4,718049657339 1,264917038131 F9V
-7,269174955018 5,907339172600 M9III
8,207394836534 1,220423080837 O3II
4,280927291231 1,753622947990 M7III
-5,807100928220 8,401305198890 B0II
4,788018526369 3,763520322438 M2III
5,911066308047 1,610893429308 B4III
4,699633323269 1,706274038105 A8III
5,747177073807 2,524220188827 G9III
-8,330121953376 5,988561972941 M9III
-8,572374847134 6,930357008558 K0VI
8,260861106574 2,545707102948 K0VI
8,078411009704 2,631121418044 M2II
8,178136913968 3,002483965638 M4V
8,857999863443 1,240535659943 G3II
5,729118209188 2,227666301183 A2IV
5,656750981758 2,386298872761 G6II
4,633498368320 3,351115597868 O1III
-6,562258217580 6,453131476302 K2II
8,199481358969 2,691053788623 VII
6,764115859983 1,236810124196 B8II
4,094491572917 3,979168397733 G8II
8,967454846520 3,281023106261 B3III
6,770426194839 1,158336966618 A6III
-9,452755646458 6,903655507606 O2II
4,227435844512 2,293419244007 O3V
-6,115592597664 7,789721586746 VII
5,520303693449 4,036233965949 O5V
-9,774079675913 8,488054153256 B5I
7,750508629961 3,834439329548 B8II
8,805465680964 1,784657756151 O8II
-6,042163428986 6,033619630160 G8II
4,066498415542 1,231474387527 B0II
-8,115560627042 5,560773792395 M8IV
6,179982745069 3,786813681734 A2II
5,821288757841 3,033781743352 K3I
8,886773791420 3,748582571256 O6II
6,847153079915 1,907821479245 VII
4,324475606838 2,557093708497 F2IV
8,967159183649 1,851965784814 F2III
4,283323891096 3,381613532859 A1IV
-9,015879394644 6,370274517879 G1VI
5,181514147338 4,055999995001 VII
-9,661252798315 5,770830177109 O6IV
7,290666452363 2,787737183678 VII
6,617423077087 1,208420247042 B3V
5,722841614953 1,638560527275 B6I
8,517204784391 3,368220859231 A3I
-6,199370050584 7,891246715898 G7V
7,787173685876 3,451818798482 VII
4,025143539083 3,745165174986 A7IV
8,893923857546 2,037301019423 K1II
4,831747431555 2,274231435989 G9IV
-7,181712079177 6,162129791423 K2III
4,179123092397 3,188258696780 F3I
-5,819605860422 6,684026457285 O2I
7,255903311816 4,147448198367 B8V
6,869289945865 2,804916362985 O2II
-7,444564107654 5,796695918296 A4II
5,450248613980 3,169022001430 F8II
-6,001577930185 8,443194387452 VII
-9,666332106598 7,595089191138 F7III
8,959717280393 1,561026781586 B3III
4,189148488785 1,726194779882 B1I
-6,416146661140 6,461051075928 A4I
7,116982610954 4,005938745794 VII
8,590867402784 2,393163568390 G4I
7,658640065296 1,551413273593 B5I
7,104168164384 2,691991341596 B5IV
4,178663451644 3,015335878392 A2III
5,146328618449 3,947386016185 B6II
6,967570239513 3,278084015841 B3I
7,704707760081 3,012900238512 VII
5,674552748372 2,414419578184 O7II
4,711560867095 3,482247623732 K8II
-7,109730358175 7,205460880087 K5IV
8,116080195474 3,176523065842 G0VI
8,094105995309 3,362725659280 M9I
7,768872105125 3,120110745121 K8IV
7,792193825724 2,003892529352 K4II
6,226540577228 3,209570338405 A5IV
7,042109816913 2,320688692938 M7VI
5,018851596828 1,473920085863 B0IV
-5,980172536582 5,799119693845 O4I
4,009308044640 2,738528217077 B6III
7,052599375091 1,706783159684 M1IV
-7,532102219099 7,950977163130 B5VI
7,177357007858 3,695293175795 K9VI
-9,344940427492 5,596926462050 A2III
6,183194297483 1,855208418929 B1II
-7,780714212990 7,202426999963 B8I
-5,869004001704 6,999243146130 M0IV
-6,387314024119 6,326959554240 A5IV
-7,397839817251 8,354586583128 A8II
7,700397689515 2,869150675260 G6VI
6,027722251730 2,498801712203 K1V
8,059714562620 3,184447359147 O1V
-5,724295505095 5,898286277475 F6VI
6,454933337631 3,170416656236 O4III
-6,944569141437 7,013981953033 VII
4,842295049721 2,081399462285 M3VI
6,995806343939 2,784117504399 F3VI
4,043141439564 3,041929527481 A0VI
4,607875040471 1,947396274202 O0II
5,209723497427 2,887796503470 A6IV
