6,494276046863 -7,289217228977 A0IV
-6,391853869554 -2,935294268748 G1II
4,839228531341 -7,096685800102 M2II
2,931008563806 7,390425016404 VII
-3,093336185344 -2,891240687546 VII
-3,102384674323 -3,537501976415 K6IV
0,563184565390 8,703687836112 F0III
5,935414119382 -6,177547769910 F5V
-6,355838980290 -2,975385786942 B9I
5,983853915786 -5,548536128172 B3IV
5,914056035551 -4,800249080480 K8I
4,321538537903 5,448582460485 VII
8,888571183316 -3,904792085332 F7VI
4,362038424821 9,006723989371 VII
-7,018901430447 -2,982656472924 O7I
-5,038824988067 -5,076224091482 G8II
8,463675033884 -4,823688225999 F4II
4,093817247427 4,650564229555 M0I
5,377516932759 -5,685230835470 M0V
4,341502416852 8,047668558141 F5II
-5,586000565997 -4,024120196490 O1III
6,141448071197 -3,521938793463 B1I
-6,774262922167 -1,214489928513 F3IV
-5,133307867350 -2,396741761731 B6I
4,902392998393 5,334767157932 VII
-3,771914069397 -4,016889251379 M3III
8,798968574403 -5,133858071553 O6IV
7,104485814267 -6,604310251186 F5II
4,307802128604 9,242020910789 B3V
-5,429098417506 -1,886594977892 VII
1,222597243356 8,330246344026 B8I
8,566610940307 -6,926056989967 F6IV
0,911584650416 8,767830212403 VII
3,449259240578 4,505612041124 VII
8,242489229698 -4,408906862182 VII
3,648370358898 9,365658477102 M5VI
0,951185095280 7,790437007049 O3II
2,051709775777 4,603327049808 M9VI
3,755053839969 7,213387577152 A6V
0,803834612245 9,150934492729 A6VI
0,644471418300 8,624544459791 A4V
-4,681087389114 -5,390618363475 F1VI
-3,181706555930 -3,149090499529 K8I
3,294685164171 9,280397766207 G9III
6,350532641447 -5,217191945185 O3IV
2,400772837819 9,287177784472 F7III
4,876767786927 -2,484556208466 B4IV
4,477019709411 -3,519089699956 K6V
-6,155558507056 -5,233806177241 M8IV
6,140361833899 -5,590421796406 VII
2,772875305965 7,198960797015 O9V
-3,474407015304 -3,712831773164 G2I
3,941135386303 7,034140581153 B4V
-6,885064600076 -4,222560319532 A9II
7,423822599276 -2,400531597035 G3I
-6,929461853924 -1,011319995654 G8II
5,026455939257 -4,650758439264 M8III
4,085220354341 7,307811525860 K1III
-5,880815394709 -4,891172375699 B5I
0,783820079747 6,933998710179 A4IV
0,520612580213 6,394318445775 A2V
0,459225646348 7,331000481299 O2VI
-5,244927236987 -3,122141857485 VII
1,968820877180 7,622671665849 K7VI
5,056020360592 9,311775670031 B6V
5,198328591590 -5,199132627756 B5I
7,696181791934 -2,432241200070 VII
-4,081695466782 -4,889063093791 A8IV
5,062589150737 6,607383247604 B3V
3,792042712181 5,325388235218 K4I
4,069319825456 5,047295972520 F9VI
-7,369256934165 -1,170768033254 O2IV
3,524229395708 8,938826846807 M7II
-6,574671974167 -4,393274410258 M2I
5,700244743156 -5,074665481493 F5II
4,762284139411 -7,291447255486 F4VI
-4,788111593589 -2,845031775314 G9V
-4,534750336667 -2,678082126304 VII
8,507669039001 -2,415454176464 G3VI
-5,562971796231 -5,468514398826 K1I
-4,061818589850 -2,978833504317 F8IV
-3,289947607788 -4,117849746235 M5V
-4,212419731203 -1,946519950920 K2III
1,002301790670 8,830242526603 B1V
7,741731468806 -3,015341556643 B4IV
5,863521226370 -6,405772432602 VII
-4,420412228929 -2,525600872062 M6II
1,416660852437 7,238856553125 G7III
-6,844815675033 -2,585821104731 M9II
