9876 100000
0 4410 B
0 8172 B
0 6197 A
0 430 A
0 1009 A
0 2540 B
0 9269 B
0 9650 B
0 5417 A
0 8993 A
0 5495 A
0 8323 B
0 1103 B
0 4522 B
0 8605 A
0 5455 B
0 1074 A
0 1632 B
0 8939 A
0 9788 B
0 9605 A
0 1618 B
0 3171 A
0 2733 A
0 8326 B
0 3500 B
0 3032 A
0 212 A
0 823 A
0 3460 B
0 3870 A
0 1714 B
0 8748 B
0 3379 B
0 5964 A
0 2987 B
0 3887 B
0 5642 A
0 2859 A
0 7185 B
0 4153 A
0 9086 A
0 7547 B
0 4440 B
0 585 B
0 5969 B
0 4845 B
0 4280 B
0 5523 A
0 2511 A
0 4499 A
0 648 B
0 8051 B
0 5547 B
0 9668 A
0 8901 B
0 3720 A
0 6097 B
0 3455 B
0 7670 A
0 501 A
0 3321 B
0 8153 A
0 9657 A
0 8843 A
0 4626 A
1 1649 A
1 1423 A
1 7083 B
1 7044 B
1 8130 A
1 1234 A
1 6696 B
1 9363 B
1 316 A
1 3687 A
1 2760 B
1 3118 A
1 5045 B
1 1636 A
1 1473 B
1 3066 B
1 7253 A
1 5912 A
1 8486 A
1 7156 B
1 1234 B
1 37 A
1 7705 B
1 2311 A
1 8747 A
1 6912 A
1 2521 B
1 4437 B
1 5231 A
1 6882 A
1 1836 A
1 6124 A
1 1558 A
1 9583 B
1 3776 A
1 6470 A
1 8376 B
1 3569 B
1 3348 B
1 8729 B
1 2833 A
1 6087 A
1 2149 B
1 7355 A
1 9781 B
1 3881 A
1 1345 A
1 6034 A
1 6700 B
1 4305 A
1 4912 B
1 9074 B
1 7525 B
1 2703 B
1 1791 B
1 8236 A
1 1440 A
2 2913 A
2 8003 A
2 2843 A
2 5941 A
2 5229 B
2 2827 B
2 1641 A
2 2401 A
2 1828 B
2 3603 B
2 466 B
2 2767 B
2 901 A
2 2023 A
2 2688 B
2 8914 B
2 3525 B
2 3729 B
2 4597 B
2 7927 A
2 9619 A
2 1710 A
2 3408 A
2 3033 A
2 4458 A
2 9703 B
2 1426 B
2 3642 B
2 311 B
2 3190 B
2 9129 B
2 4926 A
2 2412 A
2 5766 A
2 2092 A
2 9807 B
2 6646 A
2 7805 B
2 9074 B
2 5685 A
2 7665 B
2 3693 B
2 2969 A
2 4704 B
2 6868 A
2 2403 A
2 2074 B
2 6086 B
2 8277 A
2 722 B
2 6402 B
2 1866 A
2 3143 A
2 394 B
2 3617 B
2 3995 A
2 1007 B
2 3308 B
2 3652 B
2 8920 B
2 7327 B
2 9260 B
2 3842 A
2 7940 B
3 6747 A
3 7097 A
3 4200 B
3 7956 A
3 3803 A
3 6841 A
3 2914 A
3 277 B
3 9140 A
3 7705 B
3 7526 A
3 2617 B
3 5942 A
3 1239 B
3 2932 B
3 6183 B
3 6651 B
3 9581 A
3 7702 B
3 6457 A
3 741 B
3 1484 A
3 7890 B
3 6374 B
3 7594 A
3 4082 A
3 3674 B
3 173 B
3 6558 B
3 4446 B
3 9179 B
3 7865 B
3 3320 A
3 5485 A
3 3951 A
3 2272 A
3 6777 B
3 164 B
3 7221 A
3 9672 B
3 4139 A
3 9242 B
3 301 A
3 5002 B
3 8596 B
3 8040 B
3 8795 B
3 286 B
3 1812 A
3 2861 B
3 8551 A
3 1157 B
3 1774 A
3 7496 A
3 6900 B
3 6107 A
3 981 B
3 4992 A
3 9816 B
3 635 B
3 6374 A
3 5319 A
3 3235 A
4 160 A
4 3344 B
4 4248 A
4 5259 A
4 518 B
4 2086 A
4 4761 B
4 4846 B
4 48 A
4 2843 B
4 7847 A
4 3200 A
4 3832 B
4 2321 A
4 7801 B
4 8975 A
4 5412 B
4 958 A
4 3566 B
4 533 B
4 1928 A
4 9246 A
4 188 A
4 2935 B
4 7134 B
4 8561 A
4 6214 A
4 408 B
4 4998 A
4 1611 B
4 5501 B
4 974 B
4 9084 A
4 8872 A
4 204 A
4 8939 B
4 6694 B
4 7971 A
4 7153 B
4 199 A
4 8163 A
4 6933 B
4 6216 A
4 7941 A
4 176 B
4 193 A
4 687 A
4 4104 B
4 7355 B
4 5202 B
4 805 A
4 1235 A
4 8424 B
4 849 B
4 6769 B
4 9475 B
4 5539 B
4 9054 B
4 6565 A
4 6633 A
4 4432 B
4 5042 A
4 8345 B
4 9347 B
4 2839 B
4 6272 B
4 2208 B
4 6423 B
4 8876 A
4 5761 A
5 6181 A
5 3410 B
5 7141 A
5 2091 A
5 4499 B
5 5770 B
5 2919 A
5 6659 A
5 8319 A
5 6940 A
5 6279 B
5 7983 A
5 9506 A
5 2182 A
5 5985 B
5 3751 A
5 8249 B
5 5580 B
5 3697 A
5 4919 B
5 1159 A
5 4189 B
5 8875 B
5 6501 B
5 2579 B
5 8781 A
5 7593 A
5 3786 A
5 3365 B
5 6836 B
5 3237 B
5 6161 B
5 3636 B
5 9182 B
5 7188 B
5 4830 B
5 4449 B
5 6119 A
5 1068 B
5 8571 A
5 8243 A
5 7492 A
5 3448 B
5 4896 A
5 8146 A
5 4529 A
5 6836 A
5 5898 B
5 7669 A
5 1466 A
5 7478 B
5 5093 B
5 2975 A
5 3558 A
5 2403 A
5 6161 A
5 8952 A
5 7340 B
